what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1300201149071
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300201172051
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300201179924
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300201181905
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300201317020
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300201351971
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300208279596
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300208283303
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300208285625
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1300208288529
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1300208290644
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300208295239
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300208319971
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1300208322820
error,log,,,"Unhandled event loop exception",1300208323724
activated,editor,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui.productEditor",1300208326699
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300208326899
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300208331702
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.saveAll",1300208334602
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1300208341861
activated,editor,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui.manifestEditor",1300208344942
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1300208344980
activated,editor,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui.manifestEditor",1300208359110
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300208436333
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1300208437395
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300208437437
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300208439689
error,log,,,"Unhandled event loop exception",1300208439877
error,log,,,"Unhandled event loop exception",1300208441439
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300208443353
error,log,,,"Unhandled event loop exception",1300208443693
error,log,,,"Unhandled event loop exception",1300208443949
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1300208453444
executed,command,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui.runtimeWorkbenchShortcut.run",1300208457592
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300208458052
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1300208472235
activated,editor,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui.manifestEditor",1300208472989
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1300208494995
activated,editor,org.eclipse.pde.ui,3.6.1.v20110210_r362,"org.eclipse.pde.ui.manifestEditor",1300208500017
